Level,XP to next,Total XP so far,Unlocks,Level up grant
1,150,0,Common,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
2,541,150,—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
3,"1,145",691,—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
4,"1,949","1,836",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
5,"2,946","3,785",Uncommon,Craft Uncommon Ti0–Ti3 and increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
6,"4,127","6,731",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
7,"5,489","10,858",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
8,"7,028","16,347",Rare,Craft Rare Ti0–Ti3 increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
9,"8,739","23,375",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
10,"10,619","32,114",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
11,"12,667","42,733",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
12,"14,879","55,400",Epic,Craft Epic Ti0–Ti3 increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
13,"17,254","70,279",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
14,"19,789","87,533",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
15,"22,483","107,322",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
16,"25,335","129,805",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
17,"28,341","155,140",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
18,"31,503","183,481",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
19,"34,817","214,984",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
20,"38,282","249,801",Elite,Craft Elite Ti0–Ti3 increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
21,"41,898","288,083",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
22,"45,664","329,981",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
23,"49,578","375,645",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
24,"53,639","425,223",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
25,"57,847","478,862",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
26,"62,200","536,709",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
27,"66,698","598,909",Legendary,Craft Legendary Ti0–Ti3 increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
28,"71,340","665,607",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
29,"76,125","736,947",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
30,"81,052","813,072",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
31,"86,121","894,124",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
32,"91,331","980,245",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
33,"96,681","1,071,576",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
34,"102,171","1,168,257",Superior,Craft Superior Ti0–Ti3 increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
35,"107,800","1,270,428",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
36,"113,567","1,378,228",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
37,"119,472","1,491,795",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
38,"125,514","1,611,267",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
39,"131,692","1,736,781",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
40,"138,007","1,868,473",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
41,"144,458","2,006,480",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
42,"151,044","2,150,938",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
43,"157,764","2,301,982",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
44,"164,619","2,459,746",Cosmic,Craft Cosmic Ti0–Ti3 increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
45,"171,607","2,624,365",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
46,"178,728","2,795,972",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
47,"185,983","2,974,700",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
48,"193,369","3,160,683",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
49,"200,888","3,354,052",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
50,"208,538","3,554,940",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
51,"216,320","3,763,478",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
52,"224,232","3,979,798",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
53,"232,275","4,204,030",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
54,"240,447","4,436,305",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
55,"248,750","4,676,752",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
56,"257,181","4,925,502",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
57,"265,742","5,182,683",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
58,"274,431","5,448,425",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
59,"283,248","5,722,856",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
60,"292,194","6,006,104",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
61,"301,267","6,298,298",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
62,"310,467","6,599,565",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
63,"319,795","6,910,032",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
64,"329,249","7,229,827",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
65,"338,829","7,559,076",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
66,"348,536","7,897,905",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
67,"358,368","8,246,441",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
68,"368,326","8,604,809",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
69,"378,410","8,973,135",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
70,"388,618","9,351,545",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
71,"398,951","9,740,163",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
72,"409,408","10,139,114",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
73,"419,990","10,548,522",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
74,"430,695","10,968,512",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
75,"441,524","11,399,207",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
76,"452,477","11,840,731",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
77,"463,553","12,293,208",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
78,"474,751","12,756,761",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
79,"486,073","13,231,512",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
80,"497,517","13,717,585",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
81,"509,083","14,215,102",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
82,"520,771","14,724,185",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
83,"532,581","15,244,956",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
84,"544,513","15,777,537",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
85,"556,565","16,322,050",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
86,"568,740","16,878,615",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
87,"581,034","17,447,355",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
88,"593,450","18,028,389",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
89,"605,986","18,621,839",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
90,"618,643","19,227,825",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
91,"631,419","19,846,468",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
92,"644,316","20,477,887",—,increase excellent chance by 0.14% and increase good chance by 0.2% and decrease normal chance by 0.34%
